2022-06-10 12:06:102 INFO  BasePage :30 - Launching Chrome Browser 
2022-06-10 12:06:757 INFO  HomePage :19 - clicking on enter the store Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Enter the Store')]'
2022-06-10 12:06:987 INFO  BasePage :30 - Launching Chrome Browser 
2022-06-10 12:06:823 INFO  HomePage :19 - clicking on enter the store Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Enter the Store')]'
2022-06-10 12:06:850 INFO  ActionPage :18 - getting text from link[[ChromeDriver: chrome on WINDOWS (034fa1f52744668f71a9e276b0b36050)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-10 12:06:38 INFO  ActionPage :24 - click on sign in tab[[ChromeDriver: chrome on WINDOWS (034fa1f52744668f71a9e276b0b36050)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-10 12:06:75 INFO  LoginPage :17 - getting Register now text[[ChromeDriver: chrome on WINDOWS (034fa1f52744668f71a9e276b0b36050)] -> xpath: //a[contains(text(),'Register Now!')]]
2022-06-10 12:06:382 INFO  LoginPage :23 - click on register now tab[[ChromeDriver: chrome on WINDOWS (034fa1f52744668f71a9e276b0b36050)] -> xpath: //a[contains(text(),'Register Now!')]]
2022-06-10 12:06:201 INFO  NewAccountFormPage :17 - getting user information textProxy element for: DefaultElementLocator 'By.xpath: //h3[contains(text(),'User Information')]'
2022-06-10 12:06:435 INFO  BasePage :30 - Launching Chrome Browser 
2022-06-10 12:06:513 INFO  HomePage :19 - clicking on enter the store Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Enter the Store')]'
2022-06-10 12:06:537 INFO  ActionPage :18 - getting text from link[[ChromeDriver: chrome on WINDOWS (d85c4a4d5b41e6142ea30d584be0bc23)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-10 12:06:833 INFO  ActionPage :24 - click on sign in tab[[ChromeDriver: chrome on WINDOWS (d85c4a4d5b41e6142ea30d584be0bc23)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-10 12:06:865 INFO  LoginPage :17 - getting Register now text[[ChromeDriver: chrome on WINDOWS (d85c4a4d5b41e6142ea30d584be0bc23)] -> xpath: //a[contains(text(),'Register Now!')]]
2022-06-10 12:06:132 INFO  LoginPage :23 - click on register now tabProxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Register Now!')]'
2022-06-10 12:06:152 INFO  NewAccountFormPage :17 - getting user information text[[ChromeDriver: chrome on WINDOWS (d85c4a4d5b41e6142ea30d584be0bc23)] -> xpath: //h3[contains(text(),'User Information')]]
2022-06-10 12:06:368 INFO  ActionPage :24 - click on sign in tab[[ChromeDriver: chrome on WINDOWS (d85c4a4d5b41e6142ea30d584be0bc23)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-13 11:06:423 INFO  BasePage :30 - Launching Chrome Browser 
2022-06-13 11:06:255 INFO  HomePage :19 - clicking on enter the store Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Enter the Store')]'
2022-06-13 11:06:274 INFO  ActionPage :21 - getting text from link[[ChromeDriver: chrome on WINDOWS (99f631a054184326651a1b38a81f6b08)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-13 11:06:703 INFO  ActionPage :27 - click on sign in tab[[ChromeDriver: chrome on WINDOWS (99f631a054184326651a1b38a81f6b08)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-13 11:06:720 INFO  LoginPage :26 - getting Register now text[[ChromeDriver: chrome on WINDOWS (99f631a054184326651a1b38a81f6b08)] -> xpath: //a[contains(text(),'Register Now!')]]
2022-06-13 11:06:932 INFO  LoginPage :32 - click on register now tabProxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Register Now!')]'
2022-06-13 11:06:964 INFO  NewAccountFormPage :74 - getting user information text[[ChromeDriver: chrome on WINDOWS (99f631a054184326651a1b38a81f6b08)] -> xpath: //h3[contains(text(),'User Information')]]
2022-06-13 11:06:390 INFO  BasePage :30 - Launching Chrome Browser 
2022-06-13 11:06:124 INFO  HomePage :19 - clicking on enter the store Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Enter the Store')]'
2022-06-13 11:06:146 INFO  ActionPage :21 - getting text from link[[ChromeDriver: chrome on WINDOWS (035a97b5df41a38333ac571dbf9eb578)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-13 11:06:421 INFO  ActionPage :27 - click on sign in tab[[ChromeDriver: chrome on WINDOWS (035a97b5df41a38333ac571dbf9eb578)] -> xpath: //a[contains(text(),'Sign In')]]
2022-06-13 11:06:441 INFO  LoginPage :26 - getting Register now text[[ChromeDriver: chrome on WINDOWS (035a97b5df41a38333ac571dbf9eb578)] -> xpath: //a[contains(text(),'Register Now!')]]
2022-06-13 11:06:662 INFO  LoginPage :32 - click on register now tabProxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(),'Register Now!')]'
2022-06-13 11:06:683 INFO  NewAccountFormPage :74 - getting user information text[[ChromeDriver: chrome on WINDOWS (035a97b5df41a38333ac571dbf9eb578)] -> xpath: //h3[contains(text(),'User Information')]]
2022-06-13 11:06:830 INFO  NewAccountFormPage :82 - enter user id [[ChromeDriver: chrome on WINDOWS (035a97b5df41a38333ac571dbf9eb578)] -> xpath: //input[@name='username']]
